job,city,req,edu,keshi,intro,company,type,guimo,need,address,salary,time
平面设计,厦门市 ,经验不限,大专,None,      负责医院VI工作，负责宣传品品设计,        厦门仁德医院                ,投资集团,50-200人,6个在招聘职位,厦门市-湖里区江华里59号（SM广场正对面）,4500-6000元/月,2017-06-15发布
文案策划,厦门市 ,3年以上,大专,None,      负责网站文案策划，有医疗网站文案策划2年工作经验·,        厦门仁德医院                ,投资集团,50-200人,6个在招聘职位,厦门市-湖里区江华里59号（SM广场正对面）,4500-6500元/月,2017-06-15发布
中医医师,惠州市 ,3年以上,大专, 中医科   ,None,        暨南大学附属第一医院养生谷分院                ,50-200人,21个在招聘职位,广州市-惠州龙门富力南昆山温泉养生谷F2区,None,8000-10000元/月,2017-06-15发布
检验士/师,广州市 ,1年以上,大专, 检验科   ,None,None,http://www.boaigroup.com.cn,投资集团,1000人以上,99个在招聘职位,面议,2017-06-12发布
肿瘤住院医,广州市 ,经验不限,大专, 肿瘤科   ,      大专以上学历，初级以上职称，有内科或肿瘤住院部工作经验；亲和力好，沟通能力好,None,http://www.boaigroup.com.cn,投资集团,1000人以上,99个在招聘职位,面议,2017-06-12发布
放射科医生,广州市 ,1年以上,大专, 放射科   ,      大专以上学历，1年以上临床放射工作经验。初级以上职称。,None,http://www.boaigroup.com.cn,投资集团,1000人以上,99个在招聘职位,10000-15000元/月,2017-05-06发布
医务科干事,广州市 ,1年以上,大专, 耳鼻喉科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
放射医生,广州市 ,经验不限,大专, 放疗科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
妇产科住院医生,广州市 ,经验不限,大专, 妇产科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
麻醉科主任,广州市 ,经验不限,大专, 麻醉科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
检验,广州市 ,经验不限,大专, 检验科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
体检医生,广州市 ,经验不限,大专, 体检中心   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
内科医生,广州市 ,经验不限,大专, 体检中心   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
儿科医助,广州市 ,经验不限,大专, 儿科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
妇科门诊手术医生,广州市 ,经验不限,大专, 妇产科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
B超医生,广州市 ,10年以上,大专, 超声科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
检验科主管,广州市 ,1年以上,大专, 检验科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
住院医师,广州市 ,经验不限, 妇产科   ,None,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
产科门诊医生,广州市 ,经验不限,初中, 妇产科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
妇产门诊医生,广州市 ,经验不限,初中, 推广/企划，妇产科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
住院部二线医生,广州市 ,10年以上,大专, 妇产科   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
经营主任,广州市 ,1年以上,大专, 耳鼻喉科，高级管理   ,None,        广州伊丽莎白妇产医院                ,专科医院,200-500人,49个在招聘职位,广州市-荔湾区康王路484号,面议,2017-06-16发布
妇产科医生助理,广州市 ,1年以上,中专, 妇产科   ,None,        广州花都都市妇产医院                ,http://www.hdfcyy.com,专科医院,200-500人,6个在招聘职位,面议,2017-06-16发布
急招B超主任以及B超医生,广州市 ,经验不限,大专, 超声科   ,None,        广州花都都市妇产医院                ,http://www.hdfcyy.com,专科医院,200-500人,6个在招聘职位,面议,2017-06-16发布
妇产科住院医生,广州市 ,3年以上,大专, 妇产科   ,None,        广州花都都市妇产医院                ,http://www.hdfcyy.com,专科医院,200-500人,6个在招聘职位,面议,2017-06-16发布
彩超医生,梅州市 ,经验不限,大专, 超声科   ,      熟悉彩超可开展腹部、妇科，产科（包括四维）、小器官、心脏常规检查、血管、心电图及动态心电图工作，执业医师以上职称。待遇面试，联系人：18088851555（杜先生）。,        梅州客都骨科医院                ,http://www.keduguke.com/index.html,200-500人,9个在招聘职位,梅州市-梅江区梅松路46号,面议,2017-06-16发布
疼痛科主任,梅州市 ,经验不限,大专, 疼痛科   ,      副主任医师以上职称，能熟悉操作臭氧和射频治疗椎间盘突出症；疼痛工作10年以上，在二级以上医院担任过骨科主任，有过硬的疼痛诊疗技术及科室管理经验，责任心强，善于沟通（如梅州地区或会说客家话优先）。有意请电话联系，待遇面议，联系电话：18088851555/0753-2369233 杜先生。,        梅州客都骨科医院                ,http://www.keduguke.com/index.html,200-500人,9个在招聘职位,梅州市-梅江区梅松路46号,面议,2017-06-16发布
麻醉科主任,梅州市 ,10年以上,大专, 麻醉科   ,      副主任医师以上职称（如有特殊专长可放宽条件），骨科工作10年以上，在二级以上医院担任过骨科主任，有过硬的骨科诊疗技术及科室管理经验，责任心强，善于沟通（如梅州地区或会说客家话优先）。有意请电话联系，待遇面议，联系电话：18088851555/0753-2369233 杜先生。,        梅州客都骨科医院                ,http://www.keduguke.com/index.html,200-500人,9个在招聘职位,梅州市-梅江区梅松路46号,面议,2017-06-16发布
影像学科带头人,梅州市 ,经验不限,大专, 放射科   ,      要求：副主任医师以上职称（如有特殊专长可放宽条件），影像学科工作10年以上，在二级以上医院担任过影像学科主任，有过硬的影像学科技术及科室管理经验，责任心强，善于沟通（如梅州地区或会说客家话优先）。有意请电话联系，待遇面议，联系电话：18088851555/0753-2369233 杜先生。,        梅州客都骨科医院                ,http://www.keduguke.com/index.html,200-500人,9个在招聘职位,梅州市-梅江区梅松路46号,面议,2017-06-16发布
骨科学科带头人,梅州市 ,8年以上,大专, 骨科   ,      副主任医师以上职称（如有特殊专长可放宽条件），骨科工作10年以上，在二级以上医院担任过骨科主任，有过硬的骨科诊疗技术及科室管理经验，责任心强，善于沟通（如梅州地区或会说客家话优先）。有意请电话联系，待遇面议，联系电话：18088851555/0753-2369233 杜先生。,        梅州客都骨科医院                ,http://www.keduguke.com/index.html,200-500人,9个在招聘职位,梅州市-梅江区梅松路46号,面议,2017-06-16发布
